date,type,registration,operator,fatalities,location,country,cat,year,Accident_Count,Fatalities_per_Accident,Fatalities_per_Accident_Operator
1919-08-02,CAPRONI CA.48,Unknown,Caproni,14,Verona,Italy,A1,1919.0,1,14.0,7.0
1919-08-11,FELIXSTOWE FURY,N123,RAF,1,near Felixtowe RNAS,U.K.,A1,1919.0,1,1.0,2.841703056768559
1920-02-23,HANDLEY PAGE O/7,G-EANV,Handley Page Transport,0,"Acadia Siding, C...",South Africa,A1,1920.0,1,0.0,0.5714285714285714
1920-02-25,HANDLEY PAGE O/400,G-EAMC,Handley Page Transport,0,near El Shereik,Sudan,A1,1920.0,1,0.0,0.5714285714285714
1920-06-30,HANDLEY PAGE O/400,G-EAKE,Handley Page Transport,0,ÃstanÃ¥,Sweden,A1,1920.0,1,0.0,0.5714285714285714
1920-12-14,HANDLEY PAGE O/400,G-EAMA,Handley Page Transport,4,Golders Green,U.K.,A1,1920.0,1,4.0,0.5714285714285714
1921-01-15,AEROMARINE 75,Unknown,Aeromarine Airways,0,Havana harbour,Cuba,O1,1921.0,1,0.0,2.0
1921-03-02,HANDLEY PAGE O/7,G-IAAC,HP Indo-Burmese Transport,0,Meerut,India,O1,1921.0,1,0.0,0.0
1921-03-04,CAPRONI CA.60 NOVIPLANO,Unknown,Caproni,0,Lago Maggiore,Italy,A1,1921.0,1,0.0,7.0
1921-08-26,FARMAN F.60 GOLIATH,O-BLAN,SNETA,2,near Calais [The Engl...,France,A1,1921.0,1,2.0,0.6666666666666666
1921-09-27,FARMAN F.60 GOLIATH,O-BRUN,SNETA,0,Evere Airfield,Belgium,O1,1921.0,1,0.0,0.6666666666666666
1921-09-27,FARMAN F.60 GOLIATH,O-BLEU,SNETA,0,Evere Airfield,Belgium,O1,1921.0,1,0.0,0.6666666666666666
1921-12-30,HANDLEY PAGE O/10,G-EATM,Handley Page Transport,0,Berck-sur-Mer,France,U1,1921.0,1,0.0,0.5714285714285714
1922-01-22,HANDLEY PAGE O/10,G-EATN,Handley Page Transport,0,near Senlis,France,A1,1922.0,1,0.0,0.5714285714285714
1922-03-31,HANDLEY PAGE O/7,Unknown,Chinese Government,14,near Beijing-Nanyuan ...,China,A1,1922.0,1,14.0,14.0
1922-04-07,FARMAN F.60 GOLIATH,F-GEAD,Grands Express AÃ©riens,5,Thieuloy-Saint-A...,France,A1,1922.0,1,5.0,5.0
1923-01-13,AEROMARINE 75,Unknown,Aeromarine Airways,4,"near Havana, Cuba",Atlantic Ocean,A1,1923.0,1,4.0,2.0
1923-05-14,FARMAN F.60 GOLIATH,F-AEBY,Air Union,6,"Monsures, Somme",France,A1,1923.0,1,6.0,1.85
1923-06-25,FARMAN F.60 GOLIATH,F-AEDL,Air Union,0,near Ãtaples,France,A1,1923.0,1,0.0,1.85
1923-07-10,HANDLEY PAGE W.8,G-EAPJ,Handley Page Transport,0,Poix,France,A1,1923.0,1,0.0,0.5714285714285714
1923-07-15,FARMAN F.60 GOLIATH,F-AEEE,Compagnie AÃ©rienne FranÃ§aise,0,near Valenciennes,France,A1,1923.0,1,0.0,0.0
1923-08-27,FARMAN F.60 GOLIATH,F-AECB,Air Union,1,"East Malling, Kent",U.K.,A1,1923.0,1,1.0,1.85
1923-12-03,FARMAN F.60 GOLIATH,F-AEIF,Air Union,0,"Littlestone, Kent",U.K.,A1,1923.0,1,0.0,1.85
1924-01-22,FARMAN F.60 GOLIATH,F-GEAO,Air Union,0,London-Croydon A...,U.K.,A1,1924.0,1,0.0,1.85
1924-08-06,FARMAN F.60 GOLIATH,F-ADDT,Air Union,0,"Golden Green, ne...",U.K.,A2,1924.0,1,0.0,1.85
1924-08-24,FARMAN F.61 GOLIATH,F-ADFP,SGTA,0,near Amsterdam-Schiph...,Netherlands,A1,1924.0,1,0.0,1.2
1925-10-16,FARMAN F.60 GOLIATH,F-HMFU,Air Union,3,"Wadhurst, East S...",U.K.,A1,1925.0,1,3.0,1.85
1925-11-14,FARMAN F.60 GOLIATH,F-FHMY,Air Union,0,near Boulogne [Englis...,France,A2,1925.0,1,0.0,1.85
1926-08-18,BLÃ©RIOT 155,F-AIEB,Air Union,4,"Hurst, near Ashf...",U.K.,A1,1926.0,1,4.0,1.85
1926-10-02,BLÃ©RIOT 155,F-AICQ,Air Union,7,"Leigh, Kent",U.K.,A1,1926.0,1,7.0,1.85
1926-10-21,HANDLEY PAGE W.10,G-EBMS,Imperial Airways,0,English Channel,U.K.,A1,1926.0,1,0.0,2.1794871794871793
1926-11-20,JUNKERS G.24,D-944,Deutsche Lufthansa,0,KÃ¶nigsberg,Germany,A1,1926.0,1,0.0,5.12962962962963
1927-05-05,FARMAN F.61 GOLIATH,F-ADFN,SGTA,2,Atlantic Ocean,Atlantic Ocean,A1,1927.0,1,2.0,1.2
1927-08-22,FOKKER F.VIII,H-NADU,KLM,1,"St. Julians, Sev...",U.K.,A1,1927.0,1,1.0,12.365079365079366
1928-02-15,HANDLEY PAGE W.8B,G-EBBG,Imperial Airways,0,near Abbeville,France,A1,1928.0,1,0.0,2.1794871794871793
1928-03-11,FARMAN F.60 GOLIATH,F-AEFC,Air Union,2,"near Folkestone, Kent...",U.K.,A1,1928.0,1,2.0,1.85
1928-04-11,FOKKER F.VIII,H-NAEE,KLM,0,Nigtevecht,Netherlands,A1,1928.0,1,0.0,12.365079365079366
1928-04-19,JUNKERS G.24,D-946,Deutsche Lufthansa,0,Spaichingen,Germany,A1,1928.0,1,0.0,5.12962962962963
1928-05-12,FORD 4-AT-A TRI-MOTOR,NC1492,Ford Air Freight Lines,2,"Dearborn, MI",USA,A1,1928.0,1,2.0,2.0
1928-05-23,FARMAN F.63BIS GOLIATH,F-AEIE,SGTA,3,near KÃ¶ln-Butzweiler...,Germany,A1,1928.0,1,3.0,1.2
1928-08-25,FORD 4-AT-B TRI-MOTOR,G-CATX,British Columbia Airways,7,"near Port Townsend, WA",USA,A1,1928.0,1,7.0,7.0
1928-09-25,JUNKERS G.31DE,D-1427,Deutsche Lufthansa,0,Arnsberg,Germany,A1,1928.0,1,0.0,5.12962962962963
1928-10-13,FORD 4-AT-A TRI-MOTOR,NC880,Stout Air Services,0,"Detroit, MI",USA,A1,1928.0,1,0.0,0.0
1928-11-23,FORD 4-AT-B TRI-MOTOR,NC7687,Spokane Airways,3,"Moran Prairie, S...",USA,A1,1928.0,1,3.0,3.0
1928-12-01,FORD 4-AT-C TRI-MOTOR,NC7862,Sunbeam Air Transport Co.,5,"near Spur, TX",USA,A1,1928.0,1,5.0,5.0
1928-12-11,JUNKERS G.31FI,D-1473,Deutsche Lufthansa,3,Letzlingen,Germany,A1,1928.0,1,3.0,5.12962962962963
1928-12-22,FORD 4-AT-A TRI-MOTOR,NC3443,Texaco,0,"Floresville, TX",USA,A1,1928.0,1,0.0,1.0
1929-01-16,FORD 4-AT-A TRI-MOTOR,NC1076,Stout Air Services,0,"near Toledo, OH",USA,A1,1929.0,1,0.0,0.0
1929-03-17,FORD 4-AT-B TRI-MOTOR,NC7683,Colonial Western Airlines,14,"near Newark Airport, ...",USA,A1,1929.0,1,14.0,14.0
1929-03-19,FORD 5-AT-B TRI-MOTOR,NC9674,Ford Motor Company,4,"Dearborn, MI",USA,A1,1929.0,1,4.0,2.6666666666666665
1929-04-12,DORNIER DO R4 SUPERWAL,I-RIDE,SANA,0,near Napoli,Italy,O1,1929.0,1,0.0,1.4
1929-04-21,FORD 5-AT-B TRI-MOTOR,NC9636,Maddux Airlines,0,near San Diego Airpor...,USA,A1,1929.0,1,0.0,8.0
1929-05-16,VICKERS 170 VANGUARD,G-EBCP,Vickers-Armstrongs,2,Shepperton,U.K.,A1,1929.0,1,2.0,0.6666666666666666
1929-05-19,FARMAN F.63BIS GOLIATH,F-GEAI,Air Union,0,"Paddock Wood, Kent",U.K.,A1,1929.0,1,0.0,1.85
1929-06-02,FOKKER F.10A,NC393E,Western Air Express,0,"Wichita, KS",USA,O1,1929.0,1,0.0,0.5
1929-06-13,FOKKER F.10A,NC9700,Pan Am,2,Santiago Airport...,Cuba,A1,1929.0,1,2.0,13.456521739130435
1929-06-17,HANDLEY PAGE W.10,G-EBMT,Imperial Airways,7,near Dungeness,U.K.,A1,1929.0,1,7.0,2.1794871794871793
1929-06-24,FORD 5-AT-A TRI-MOTOR,NC7416,Northwest Airways,1,"Saint Paul, MN",USA,A1,1929.0,1,1.0,0.5
1929-08-29,JUNKERS G.24LI,SE-AAF,AB Aerotransport,0,Emsland,Germany,A1,1929.0,1,0.0,8.333333333333334
1929-09-03,FORD 5-AT-B TRI-MOTOR,NC9649,Transcontinental Air Transport - TAT,8,"near Gallup, NM",USA,A1,1929.0,1,8.0,8.0
1929-09-06,DH.66 HERCULES,G-EBMZ,Imperial Airways,3,Jask Airport,Iran,A1,1929.0,1,3.0,2.1794871794871793
1929-09-10,ROHRBACH RO X ROMAR I,D-1734,Deutsche Lufthansa,0,near GrÃ¶mitz,Germany,A1,1929.0,1,0.0,5.12962962962963
1929-10-19,SABCA (HANDLEY PAGE) W.8B,OO-AHK,Sabena,0,Edegem,Belgium,A1,1929.0,1,0.0,8.789473684210526
1929-10-26,SHORT S.8/1 CALCUTTA,G-AADN,Imperial Airways,7,near La Spezia,Italy,A1,1929.0,1,7.0,2.1794871794871793
1929-11-06,JUNKERS G.24BI,D-903,Deutsche Lufthansa,7,"near Godstone, Surrey",U.K.,A1,1929.0,1,7.0,5.12962962962963
1929-11-18,ROHRBACH RO X ROMAR I,D-1693,Deutsche Lufthansa,0,LÃ¼beck-TravemÃ¼...,Germany,A1,1929.0,1,0.0,5.12962962962963
1929-11-27,FOKKER F.32,NX124M,Fokker Aircraft Corp. of America,0,near Hempstead-Roosev...,USA,A1,1929.0,1,0.0,0.0
1929-12-04,CURTISS B-2 CONDOR (CONDOR 18),29-28,USAAC,1,"Goodwater, AL",USA,A1,1929.0,1,1.0,0.16666666666666666
1929-12-12,FARMAN F.180T,F-AIVR,SGTA,0,Toussus-le-Noble,France,O1,1929.0,1,0.0,1.2
1929-12-26,FOKKER F.10,NC5358,Western Air Express,0,Oakland Municipa...,USA,A1,1929.0,1,0.0,0.5
1930-01-19,FORD 5-AT-C TRI-MOTOR,NC9689,Maddux Airlines,16,"Oceanside, CA",USA,A1,1930.0,1,16.0,8.0
1930-02-07,JUNKERS R-42 (G.24),J6,Chilean AF,2,near Punta Arenas,Chile,A1,1930.0,1,2.0,8.714285714285714
1930-02-08,FORD 4-AT-A TRI-MOTOR,NC2492,Private,0,"San Marcos, TX",USA,A1,1930.0,1,0.0,0.9591836734693877
1930-02-10,FARMAN F.63BIS GOLIATH,F-FHMY,Air Union,2,"Marden, Kent",U.K.,A1,1930.0,1,2.0,1.85
1930-02-14,DH.66 HERCULES,G-EBNA,Imperial Airways,0,Gaza,Israel,A1,1930.0,1,0.0,2.1794871794871793
1930-02-23,FOKKER F.10A,NC279E,Western Air Express,3,"near San Bernardino, CA",USA,A1,1930.0,1,3.0,0.5
1930-03-02,FORD 4-AT-A TRI-MOTOR,R-131,NYRBA,0,Cordoba,Argentina,A1,1930.0,1,0.0,0.0
1930-04-08,FORD 5-AT-C TRI-MOTOR,R-148,Tri-Motor Safety Airways,0,Buenos Aires,Argentina,A1,1930.0,1,0.0,0.0
1930-05-31,HANDLEY PAGE W.9A HAMPSTEAD,VH-ULK,Ellyou Goldfields Development,0,Mount Misim,P.N. Guinea,A1,1930.0,1,0.0,0.0
1930-06-05,FORD 5-AT-B TRI-MOTOR,NC9675,Colonial Air Transport,1,"Boston, MA",USA,A1,1930.0,1,1.0,1.0
1930-06-25,FORD 5-AT-A TRI-MOTOR,NC7739,Northwest Airways,0,Chicago Municipa...,USA,O1,1930.0,1,0.0,0.5
1930-06-25,FOKKER F.10A,NC457E,Universal Airlines,0,"Chicago, IL",USA,O1,1930.0,1,0.0,0.0
1930-06-25,FOKKER F.10A,NC879E,Universal Airlines,0,"Chicago, IL",USA,O1,1930.0,1,0.0,0.0
1930-06-25,FOKKER F.10A,NC803E,Universal Airlines,0,"Chicago, IL",USA,O1,1930.0,1,0.0,0.0
1930-06-25,FOKKER F.10A,NC135E,Universal Airlines,0,"Chicago, IL",USA,O1,1930.0,1,0.0,0.0
1930-06-25,FOKKER F.10,NC8010,Shell Oil,0,"Chicago, IL",USA,O1,1930.0,1,0.0,0.0
1930-06-25,FOKKER F.10,NC5614,Northern Airlines,0,"Chicago, IL",USA,O1,1930.0,1,0.0,0.0
1930-07-09,FARMAN F.63BIS GOLIATH,F-ADFQ,SGTA,1,Aalsmeer,Netherlands,A1,1930.0,1,1.0,1.2
1930-07-12,CURTISS CONDOR 18,NC.....,Curtiss,0,"Valley Stream, NY",USA,A1,1930.0,1,0.0,0.0
1930-08-04,FORD JR-3 (5-AT-C) TRI-MOTOR,A8598,USMC,0,"Ocotal, Nueva Se...",Nicaragua,A1,1930.0,1,0.0,5.961538461538462
1930-08-22,FORD 5-AT-C TRI-MOTOR,OK-FOR,CSA,12,Jihlava (Iglau),Czech Rep.,A1,1930.0,1,12.0,10.0
1930-09-03,FOKKER F.10A,NC810H,Pan Am,0,Santo Domingo,Dominican Rep.,O1,1930.0,1,0.0,13.456521739130435
1930-10-30,HANDLEY PAGE W.8G,G-EBIX,Imperial Airways,3,"Boulogne, Paris",France,A1,1930.0,1,3.0,2.1794871794871793
1930-11-07,JUNKERS G.24,P-BAHA,Syndicato Condor,1,"near Iguape, SP",Brazil,A1,1930.0,1,1.0,4.333333333333333
1930-11-21,FORD 4-AT-B TRI-MOTOR,NC7118,Curtiss-Wright Flying Service,0,"Burbank, CA",USA,O1,1930.0,1,0.0,0.0
1930-11-21,DORNIER DO R4 SUPERWAL,I-RONY,SANA,6,"near Cap de Creus, Spain",Mediterranean Sea,A1,1930.0,1,6.0,1.4
