operator,total_accidents,total_fatalities,Fatalities_per_Accident
", op.for GoJump",1,1,1.0
", op.for Tlaxcala State Government",1,2,2.0
", op.for UN",1,0,0.0
09 Charlie,1,0,0.0
1982-047 LLC,1,0,0.0
2M Leasing,1,0,0.0
2nd Arkhangelsk United Aviation Division,3,0,0.0
2nd Sverdlovsk Aviation Enterprise,3,0,0.0
40-Mile Air,1,0,0.0
748 Air Services,4,0,0.0
987 Investments,1,0,0.0
A & AEE,2,2,1.0
A & H Aircraft Sales,1,1,1.0
"A&C Big Sky Aviation, opb Trans-Pacific Jets",1,2,2.0
A.E. Stanley Manufacturing Co.,1,2,2.0
A.R. Wings,1,0,0.0
AAA Investments,1,0,0.0
AB Aerotransport,9,75,8.333333333333334
AB Aviation,1,14,14.0
AB TT-Transportflyg,1,21,21.0
ABA Aviation Resources,1,0,0.0
ABS Equipment Leasing,1,0,0.0
ABX Air,1,0,0.0
ACA-Ancargo Air,2,53,26.5
ACAPSA,1,0,0.0
ACE Air Cargo,4,4,1.0
ACES,12,86,7.166666666666667
ACM Praha,1,0,0.0
ACS,1,0,0.0
ACS Skydiving Center,1,0,0.0
ACSA - Air Century,1,0,0.0
ACT Airlines,1,0,0.0
"ACT Airlines, opf Saudi Arabian",1,0,0.0
"ACT Airlines, opf Turkish Cargo",1,0,0.0
AD Aviation Aircharters,1,3,3.0
ADAT,3,0,0.0
ADC Airlines,5,241,48.2
ADES Colombia,1,13,13.0
AECA,4,2,0.5
AER,3,12,4.0
AESA,2,2,1.0
AF Andrade Empr. e Part.,1,7,7.0
AG Air,1,6,6.0
AIEP,1,0,0.0
AIM Air,1,0,0.0
AIRES Colombia,10,27,2.7
AKF Polet,1,10,10.0
ALA,3,30,10.0
ALAS,1,0,0.0
ALAS Guaranies,1,0,0.0
ALCI,1,0,0.0
ALCI Aviation,1,0,0.0
"ALCI Aviation, opf North Star Air Cargo",1,0,0.0
ALCON,1,0,0.0
ALE - Aerolineas Ejecutivas,1,0,0.0
ALFA,10,32,3.2
ALI,6,65,10.833333333333334
ALIANSA Colombia,6,21,3.5
ALM,3,0,0.0
ALROSA,1,0,0.0
ALTA,1,0,0.0
AMA Flyg,1,0,0.0
AMAZ,1,0,0.0
AMC Aviation,2,0,0.0
AMF Corp.,1,0,0.0
AMSA,3,1,0.3333333333333333
ANA,12,88,7.333333333333333
ANA Wings,1,0,0.0
"ANA, opf USAAC",1,16,16.0
"ANA, opf USAAF",1,6,6.0
ANDES,2,0,0.0
ANDESA,1,30,30.0
"ANEPC, opb Babcock",1,1,1.0
ANHSA,1,0,0.0
ANK- Air Nippon,1,0,0.0
ANSA,1,0,0.0
"AOM French Airlines, op.for Cubana",1,0,0.0
APASA,2,0,0.0
APISA Air Carga,1,0,0.0
APRL,5,13,2.6
APSA,2,0,0.0
ARCO,2,0,0.0
ARCO Bermuda,1,0,0.0
AREA Ecuador,5,69,13.8
ARGa.,1,4,4.0
"ARM, op.for Tadair",1,2,2.0
ARPA,1,36,36.0
ART 21631,1,0,0.0
ARTOP,1,36,36.0
ASA,1,0,0.0
ASA Pesada,1,57,57.0
ASF Belgique,1,0,0.0
ASL,5,5,1.0
ASL - Air Service Liege,2,0,0.0
ASL Airlines Belgium,1,0,0.0
ASL Airlines Hungary,1,0,0.0
ASSL,1,0,0.0
ASTAR Air Cargo,1,0,0.0
AT Aero LLC,1,0,0.0
AT&T Alascom,1,0,0.0
ATESA,6,33,5.5
ATI,9,122,13.555555555555555
ATI Aircompany,1,8,8.0
ATMA Airlines,1,0,0.0
ATO,1,2,2.0
ATR,1,0,0.0
ATRAN,1,7,7.0
ATSA,3,19,6.333333333333333
AVAir,1,0,0.0
AVCOM,1,2,2.0
AVENSA,22,168,7.636363636363637
"AVENSA, op.for Socony Mobil Oil",1,8,8.0
"AVENSA, op.for VIASA",1,0,0.0
AVESCA,1,11,11.0
AVISPA,1,40,40.0
AW Aerowest,1,0,0.0
AX Transporter,1,0,0.0
"AZZA Transport, op.for Sudan AF",1,15,15.0
"AZZA Transport, op.for Sudan Airways",1,6,6.0
Aaron Enterprises Corporation,1,0,0.0
Aaxico Airlines,5,10,2.0
"Aaxico Airlines, op.for Puerto Rican American Airlines",1,0,0.0
Ababeel Aviation,3,4,1.3333333333333333
Abakan Airlines,1,3,3.0
Abeer Air Services,1,0,0.0
Abelag Aviation,1,0,0.0
Aboitiz Air,1,0,0.0
Abu Dhabi AF,2,0,0.0
"Abyssinian Flight Services, opf UN WFP",1,0,0.0
Acme Leasing,1,0,0.0
Acme Plywood,1,8,8.0
AdamAir,3,102,34.0
Adastra Aerial Surveys,1,6,6.0
Adastra Airways,3,9,3.0
Aden Airways,4,30,7.5
Adhemar de Barros,1,0,0.0
Adikarto Printindo,1,0,0.0
Adlair,1,0,0.0
Adria Airways,1,0,0.0
Advance Airlines,1,13,13.0
Advance Aviation,1,1,1.0
"Advanced Aviation, op.for Minair",1,0,0.0
Adventure Air,1,0,0.0
"Adventure Aviation, op.for Quantum Leap Skydiving",1,6,6.0
Adygeya-Avia,1,0,0.0
Aer Arann,4,0,0.0
Aer Lingus,10,87,8.7
Aer Turas,2,2,1.0
AerCaribe Cargo,2,0,0.0
AerCaribe Peru,2,0,0.0
AerOhio,1,0,0.0
Aeralpi,2,4,2.0
Aerea Teseo,1,7,7.0
AereoServicio Guerrero,1,14,14.0
Aerial Photography Co.,1,0,0.0
Aerial Services,1,5,5.0
Aerial Tours,2,0,0.0
Aerial Transit,1,0,0.0
Aeriantur-M Airlines,1,34,34.0
Aero Air,1,3,3.0
Aero Astra,1,1,1.0
Aero Aysen,1,0,0.0
Aero Baires,1,0,0.0
Aero Bellavista,1,0,0.0
Aero Biekes,1,0,0.0
Aero Cabo,1,0,0.0
Aero California,2,21,10.5
Aero Cargo,1,0,0.0
Aero Charter Services,1,1,1.0
Aero Club Libya,1,14,14.0
Aero Condor,5,10,2.0
Aero Continente,1,0,0.0
Aero Cozumel,3,6,2.0
Aero Cuahonte,2,9,4.5
Aero Ermes,1,0,0.0
Aero Eslava,1,4,4.0
Aero Express,3,10,3.3333333333333335
Aero Ferinco,3,19,6.333333333333333
Aero Flite,1,2,2.0
Aero France,1,11,11.0
Aero Fret Business,2,6,3.0
Aero Geral,1,2,2.0
Aero Getics,1,0,0.0
Aero Holland,1,34,34.0
Aero J.L.,1,4,4.0
Aero JBR,1,0,0.0
Aero Jet Express,1,4,4.0
Aero Jet Services,1,0,0.0
Aero Kenya,1,0,0.0
Aero Lloyd,1,0,0.0
Aero LÃ©on,1,18,18.0
Aero Manu,3,0,0.0
Aero OY,5,58,11.6
Aero Palas,1,6,6.0
Aero Proveedora Proa,1,2,2.0
"Aero Pulse, opf UN WFP",1,0,0.0
Aero RepÃºblica,2,0,0.0
Aero Scoroget,1,0,0.0
Aero Services Corp.,1,0,0.0
Aero Servicios,2,6,3.0
Aero Servicios Empresariales,1,17,17.0
Aero Spacelines,1,4,4.0
Aero Sudpacifico,3,9,3.0
Aero Taxi Internacional,1,0,0.0
Aero Technik,1,2,2.0
Aero Trades (Western),2,0,0.0
Aero Tropical,1,8,8.0
Aero Union,5,10,2.0
Aero Virgin Islands,5,0,0.0
Aero Vodochody,1,0,0.0
Aero West,1,1,1.0
Aero Zambia,1,0,0.0
Aero-DienstÂ,2,4,2.0
Aero-Fly,1,9,9.0
Aero-Nord Sweden,1,2,2.0
Aero-Transit,1,0,0.0
Aero-Tropics,1,0,0.0
AeroEjecutivos,2,3,1.5
AeroGeo,1,0,0.0
AeroPerlas,5,30,6.0
"AeroPerlas, op.for SANSA",2,13,6.5
AeroPeru,2,82,41.0
AeroSmith Aviation,1,0,0.0
AeroSvit Airlines,1,0,0.0
AeroUral,1,0,0.0
Aeroamazonas,2,7,3.5
Aerobol,1,0,0.0
Aerobrasil,1,0,0.0
Aerocarga,1,0,0.0
Aerocarga Colombia,1,0,0.0
Aerocarga Especializada,1,0,0.0
Aerocaribbean,4,102,25.5
"Aerocaribbean, opf Cubana",1,0,0.0
Aerocaribe,3,20,6.666666666666667
Aerocassa,1,0,0.0
Aerochago Airlines,4,2,0.5
Aerocharter Midlands,1,0,0.0
Aerochasqui,1,15,15.0
Aeroclub Maestro,1,1,1.0
"Aerocom, op.for Galaxy Incorporation",1,11,11.0
"Aerocom, op.for Pacific Air Express",1,0,0.0
Aerocon,3,16,5.333333333333333
Aerocondor,1,0,0.0
Aerocondor de Colombia,11,66,6.0
Aerocontractors,3,2,0.6666666666666666
Aerocor - Aerolineas Cordillera,1,0,0.0
Aerocord,1,9,9.0
Aerocorp,1,0,0.0
Aerocosta Colombia,4,6,1.5
Aerodan,1,0,0.0
Aerodiana,1,0,0.0
Aerodinamo del Pacifico,1,3,3.0
Aerodinos,1,0,0.0
Aerodyne Engineering,1,0,0.0
Aeroejecutivos Colombia,1,2,2.0
Aeroeste,1,0,0.0
Aeroexecutivos,1,0,0.0
Aeroflite Services,1,2,2.0
Aeroflot,194,564,2.9072164948453607
"Aeroflot, 235 Aviation Det.",1,8,8.0
"Aeroflot, Advanced Flying Training College",1,1,1.0
"Aeroflot, Arkhangelsk",8,85,10.625
"Aeroflot, Armenia",19,264,13.894736842105264
"Aeroflot, Azerbaijan",14,256,18.285714285714285
"Aeroflot, Azov-Black Sea",1,0,0.0
"Aeroflot, Belarus",18,315,17.5
"Aeroflot, Central Region",23,134,5.826086956521739
"Aeroflot, Domodedovo",2,0,0.0
"Aeroflot, East Siberia",68,496,7.294117647058823
"Aeroflot, Estonia",3,81,27.0
"Aeroflot, Far East",58,617,10.637931034482758
"Aeroflot, Georgia",29,341,11.758620689655173
"Aeroflot, International",21,611,29.095238095238095
"Aeroflot, Kazakstan",48,554,11.541666666666666
"Aeroflot, Kirovograd Flight School",2,7,3.5
"Aeroflot, Komi",18,179,9.944444444444445
"Aeroflot, Krasnoyarsk",43,431,10.023255813953488
"Aeroflot, Krasnoyarsk, op.for Soviet AF",1,3,3.0
"Aeroflot, Kyrgyzstan",10,87,8.7
"Aeroflot, LUTTs",1,0,0.0
"Aeroflot, Latvia",13,57,4.384615384615385
"Aeroflot, Leningrad",9,272,30.22222222222222
"Aeroflot, Lithuania",14,94,6.714285714285714
"Aeroflot, MAG SPiVS",1,0,0.0
"Aeroflot, MAGON",28,42,1.5
"Aeroflot, MUTA",1,59,59.0
"Aeroflot, Magadan",24,127,5.291666666666667
"Aeroflot, Moldova",7,98,14.0
"Aeroflot, Moscow",66,556,8.424242424242424
"Aeroflot, Moscow SPiMVL",14,15,1.0714285714285714
"Aeroflot, North Kavkaz",50,308,6.16
"Aeroflot, Northern",37,207,5.594594594594595
"Aeroflot, Polar",18,86,4.777777777777778
"Aeroflot, Privolzhsk",38,374,9.842105263157896
"Aeroflot, Sasovo FS",1,3,3.0
"Aeroflot, Syktyvkar",3,0,0.0
"Aeroflot, Tajikistan",17,191,11.235294117647058
"Aeroflot, Turkmenistan",15,87,5.8
"Aeroflot, Tyumen",18,79,4.388888888888889
"Aeroflot, Ukraine",77,788,10.233766233766234
"Aeroflot, Ulyanovsk Flight School",5,60,12.0
"Aeroflot, Uralsk",35,142,4.057142857142857
"Aeroflot, Uzbekistan",44,695,15.795454545454545
"Aeroflot, West Siberia",35,254,7.257142857142857
"Aeroflot, Yakutsk",95,275,2.8947368421052633
"Aeroflot, op.for Vnukovo Airlines",1,0,0.0
Aeroflot-Nord,3,88,29.333333333333332
Aerogal,1,0,0.0
"Aerogaviota, opf Cuban AF",1,8,8.0
Aerogetic,1,0,0.0
Aerogryf Aviation,1,0,0.0
Aeroguaparo,1,0,0.0
Aeroitalia,1,0,0.0
Aeroklub Bydgoski,1,0,0.0
Aeroklub JeleniogÃ³rski,1,0,0.0
Aeroklub Kielecki,1,0,0.0
Aeroklub Pomorski,1,0,0.0
Aeroklub Togliatti,1,0,0.0
Aeroklub Warminsko-Mazurski,1,0,0.0
Aeroklub Zaglebia Miedziowego,1,0,0.0
Aeroklub Ziemi Lubuskiej,1,0,0.0
Aerokon Aviation,1,0,0.0
Aerolamsa,1,0,0.0
Aerolift,3,16,5.333333333333333
Aerolift Philippines,1,0,0.0
Aerolimousine,1,0,0.0
Aerolineas Abaroa,6,21,3.5
Aerolineas Argentinas,47,338,7.191489361702128
Aerolineas Argo,2,3,1.5
Aerolineas Carreras,2,7,3.5
Aerolineas Condor,3,44,14.666666666666666
Aerolineas La Paz,3,5,1.6666666666666667
Aerolineas Llaneras - Arall,3,4,1.3333333333333333
Aerolineas Marcos,1,0,0.0
Aerolineas Nacionales,3,2,0.6666666666666666
Aerolineas Vega,1,3,3.0
Aerolitoral,1,0,0.0
AerolÃ­neas Ejecutivas,1,0,0.0
AerolÃ­neas SOSA,2,0,0.0
AerolÃ­neas TAO,5,64,12.8
Aeromar,3,0,0.0
Aeromarine Airways,2,4,2.0
Aeromarket,3,0,0.0
Aeromaya,1,0,0.0
Aeromedevac Air Ambulance,1,4,4.0
Aeromist Kharkiv,1,44,44.0
Aeromonterrey,1,0,0.0
AeromÃ¡s,2,0,0.0
AeromÃ©xico,14,75,5.357142857142857
AeromÃ©xico Connect,2,0,0.0
Aeronaut Air Services,1,2,2.0
Aeronav Air Services,1,2,2.0
Aeronaves TSM,5,5,1.0
Aeronaves de MÃ©xico,8,73,9.125
Aeronaves de Panama,1,6,6.0
Aeronaves del Peru,3,12,4.0
Aeronica,9,8,0.8888888888888888
Aeronika,1,23,23.0
Aeronor Chile,2,46,23.0
Aeronorte,6,18,3.0
"Aeronorte, op.for Aerocosta Colombia",1,0,0.0
Aeropacifico,1,0,0.0
Aeropanamericano,1,4,4.0
Aeroparadise SA,1,0,0.0
Aerope 3S Aviation,1,0,0.0
Aeropelican Air Services,1,0,0.0
Aeropesca Colombia,9,99,11.0
Aeropol,2,3,1.5
Aeropostal,1,0,0.0
Aeroquest,1,5,5.0
Aeroserv,1,0,0.0
Aeroservice International,1,2,2.0
"Aeroservice, opf SiLA - Siberian Light Aviation",1,4,4.0
Aeroservicios Internacionales,1,0,0.0
Aeroservicios Parrague,2,4,2.0
Aerosol,1,0,0.0
Aerospace Finance Leasing Inc,1,0,0.0
Aerospike Iron LLC,1,0,0.0
Aerosucre Colombia,11,21,1.9090909090909092
Aerosur,1,0,0.0
Aerosur Patagonia,1,0,0.0
Aerotaca,5,17,3.4
Aerotal Colombia,9,4,0.4444444444444444
Aerotaxi,3,16,5.333333333333333
Aerotaxi SA,1,0,0.0
Aerotaxis Dos Mil,2,0,0.0
Aerotechnia,1,6,6.0
Aerotour,1,0,0.0
Aerotransporte Petrolero,1,5,5.0
Aerotransportes Huitzilin,1,2,2.0
AerotucÃ¡n,1,0,0.0
AerotÃ©cnicos Asociados de MÃ©xico,1,4,4.0
Aerounion,2,0,0.0
Aerovanguardia,3,3,1.0
